127.0.0.1:54623,Nueva Conexion,2023-10-06 15:56:35.7671946 -0300 -03 m=+36.498010801
127.0.0.1:54623,Cliente desconectado,2023-10-06 15:56:41.9299658 -0300 -03 m=+42.660782001
127.0.0.1:54625,Nueva Conexion,2023-10-06 15:57:06.4625009 -0300 -03 m=+67.193317101
127.0.0.1:54625,Cliente desconectado,2023-10-06 15:57:37.6886849 -0300 -03 m=+98.419501101
127.0.0.1:54625,Cliente desconectado,2023-10-06 15:57:49.4280717 -0300 -03 m=+110.158887901
127.0.0.1:54763,Nueva Conexion,2023-10-06 16:19:02.7459229 -0300 -03 m=+37.742926801
127.0.0.1:54765,Nueva Conexion,2023-10-06 16:19:34.4967953 -0300 -03 m=+69.493799201
127.0.0.1:54765,Cliente desconectado,2023-10-06 16:20:54.7652905 -0300 -03 m=+149.762294401
127.0.0.1:54763,Cliente desconectado,2023-10-06 16:22:06.2036737 -0300 -03 m=+221.200677601
127.0.0.1:54793,Nueva Conexion,2023-10-06 16:22:42.2215905 -0300 -03 m=+257.218594401
127.0.0.1:54793,Cliente desconectado,2023-10-06 16:24:15.098117 -0300 -03 m=+350.095120901
